index,Title,Summary
57,Eat Spicy Foods,"Chili peppers contain capsaicin, a spicy compound that can boost metabolism and reduce your appetite slightly"
58,Do Aerobic Exercise,Doing aerobic exercise (cardio) is an excellent way to burn calories and improve your physical and mental health.
59,Lift Weights,"One of the worst side effects of dieting is that it tends to cause muscle loss and metabolic slowdown, often referred to as starvation mode"
60,Eat More Fiber,"Fiber is often recommended for weight loss.

Although the evidence is mixed, some studies show that fiber (especially viscous fiber) can increase satiety and help you control your weight over the long term"
61,Eat More Vegetables and Fruits,"Vegetables and fruits have several properties that make them effective for weight loss.

They contain few calories but a lot of fiber. Their high water content gives them low energy density, making them very filling."
62,Get Good Sleep,Sleep is highly underrated but may be just as important as eating healthy and exercising.
63,Beat Your Food Addiction,"A recent study found that 19.9% of people in North America and Europe fulfill the criteria for food addiction 

If you experience overpowering cravings and can’t seem to curb your eating no matter how hard you try, you may suffer from addiction."
64,Eat More Protein,"Protein is the single most important nutrient for losing weight.

Eating a high-protein diet has been shown to boost metabolism by 80–100 calories per day while shaving 441 calories per day off your diet"
65,Supplement With Whey Protein,"If you struggle to get enough protein in your diet, taking a supplement — such as protein powder — can help."
66,"Don’t Do Sugary Drinks, Including Soda and Fruit Juice","Sugar is bad, but sugar in liquid form is even worse. Studies show that calories from liquid sugar may be the single most fattening aspect of the modern diet"
67,"Eat Whole, Single-Ingredient Foods (Real Food)","If you want to be a leaner, healthier person, then one of the best things you can do for yourself is to eat whole, single-ingredient foods.

These foods are naturally filling, and it’s very difficult to gain weight if the majority of your diet is based on them."
68,Don’t Diet — Eat Healthy Instead,"One of the biggest problems with diets is that they rarely work in the long term.

If anything, people who diet tend to gain more weight over time, and studies show that dieting is a consistent predictor of future weight gain"
69,Chew More Slowly,Your brain may take a while to register that you’ve had enough to eat. Some studies show that chewing more slowly can help you eat fewer calories and increase the production of hormones linked to weight loss 
70,How weight loss occurs,Weight loss occurs when you consistently consume fewer calories than you burn each day.
71,Best diet for weight loss,"Adhering to a weight loss diet is difficult for most people. Regardless of your goals, choose a dietary pattern based on your individual preferences and health status."
72,Safe rates of weight loss,"Losing weight too quickly can lead to problems like gallstones, muscle loss, and extreme fatigue. Experts recommend a moderate weight loss of 1–3 pounds (0.45–1.36 kg) per week, or about 1% of your body weight."
73,Add Protein to Your Diet ,"When it comes to weight loss, protein is the king of nutrients.

Your body burns calories when digesting and metabolizing the protein you eat, so a high-protein diet can boost metabolism by up to 80–100 calories per day"
74,"Eat Whole, Single-Ingredient Foods","One of the best things you can do to become healthier is to base your diet on whole, single-ingredient foods"
75,Avoid Processed Foods,"Processed foods are usually high in added sugars, added fats and calories.

What’s more, processed foods are engineered to make you eat as much as possible. They are much more likely to cause addictive-like eating than unprocessed foods"
76,Stock Up on Healthy Foods and Snacks,"Studies have shown that the food you keep at home greatly affects weight and eating behavior

By always having healthy food available, you reduce the chances of you or other family members eating unhealthy."
77,Limit Your Intake of Added Sugar,"Eating a lot of added sugar is linked with some of the world’s leading diseases, including heart disease, type 2 diabetes and cancer (12Trusted Source, 13Trusted Source, 14Trusted Source).

On average, Americans eat about 15 teaspoons of added sugar each day. This amount is usually hidden in various processed foods, so you may be consuming a lot of sugar without even realizing it "
78,Drink Water,"There is actually truth to the claim that drinking water can help with weight loss.

Drinking 0.5 liters (17 oz) of water may increase the calories you burn by 24–30% for an hour afterward (16Trusted Source, 17Trusted Source, 18Trusted Source, 19Trusted Source).

Drinking water before meals may also lead to reduced calorie intake, especially for middle-aged and older people (20Trusted Source, 21Trusted Source).

Water is particularly good for weight loss when it replaces other beverages that are high in calories and sugar"
79,Drink (Unsweetened) Coffee,"Fortunately, people are realizing that coffee is a healthy beverage that is loaded with antioxidants and other beneficial compounds.

Coffee drinking may support weight loss by increasing energy levels and the amount of calories you burn"
80,Supplement With Glucomannan,"Glucomannan is one of several weight loss pills that has been proven to work.

This water-soluble, natural dietary fiber comes from the roots of the konjac plant, also known as the elephant yam."
81,Avoid Liquid Calories,"Liquid calories come from beverages like sugary soft drinks, fruit juices, chocolate milk and energy drinks.

These drinks are bad for health in several ways, including an increased risk of obesity. One study showed a drastic 60% increase in the risk of obesity among children, for each daily serving of a sugar-sweetened beverage"
82,Limit Your Intake of Refined Carbs,"Refined carbs are carbs that have had most of their beneficial nutrients and fiber removed.

The refining process leaves nothing but easily digested carbs, which can increase the risk of overeating and disease"
83,Fast Intermittently,"Intermittent fasting is an eating pattern that cycles between periods of fasting and eating.

There are a few different ways to do intermittent fasting, including the 5:2 diet, the 16:8 method and the eat-stop-eat method."
84,Drink (Unsweetened) Green Tea,"Green tea is a natural beverage that is loaded with antioxidants.

Drinking green tea is linked with many benefits, such as increased fat burning and weight loss"
85,Eat More Fruits and Vegetables,"Fruits and vegetables are extremely healthy, weight-loss-friendly foods.

In addition to being high in water, nutrients and fiber, they usually have very low energy density. This makes it possible to eat large servings without consuming too many calories."
86,Count Calories Once in a While,"Being aware of what you’re eating is very helpful when trying to lose weight.

There are several effective ways to do this, including counting calories, keeping a food diary or taking pictures of what you eat"
87,Use Smaller Plates,"Some studies have shown that using smaller plates helps you eat less, because it changes how you see portion sizes .

People seem to fill their plates the same, regardless of plate size, so they end up putting more food on larger plates than smaller ones"
88,Try a Low-Carb Diet,"Many studies have shown that low-carb diets are very effective for weight loss.

Limiting carbs and eating more fat and protein reduces your appetite and helps you eat fewer calories 

This can result in weight loss that is up to 3 times greater than that from a standard low-fat diet 

A low-carb diet can also improve many risk factors for disease."
89,Eat More Slowly ,"If you eat too fast, you may eat way too many calories before your body even realizes that you are full

Faster eaters are much more likely to become obese, compared to those who eat more slowly"
90,Replace Some Fat with Coconut Oil,"Coconut oil is high in fats called medium-chain triglycerides, which are metabolized differently than other fats."
91,Add Eggs to Your Diet,"Eggs are the ultimate weight loss food. They are cheap, low in calories, high in protein and loaded with all sorts of nutrients.

High-protein foods have been shown to reduce appetite and increase fullness, compared to foods that contain less protein"
92,Spice Up Your Meals,"Chili peppers and jalapenos contain a compound called capsaicin, which may boost metabolism and increase the burning of fat .

Capsaicin may also reduce appetite and calorie intake"
93,Take Probiotics,"Probiotics are live bacteria that have health benefits when eaten. They can improve digestive health and heart health, and may even help with with weight loss"
94,Get Enough Sleep,"Getting enough sleep is incredibly important for weight loss, as well as to prevent future weight gain."
95,Eat More Fiber,"Fiber-rich foods may help with weight loss.

Foods that contain water-soluble fiber may be especially helpful, since this type of fiber can help increase the feeling of fullness.

Fiber may delay stomach emptying, make the stomach expand and promote the release of satiety hormones"
96,Brush Your Teeth After Meals,"Many people brush or floss their teeth after eating, which may help limit the desire to snack or eat between meals (99Trusted Source).

This is because many people do not feel like eating after brushing their teeth. Plus, it can make food taste bad."
97,Combat Your Food Addiction.,Food addiction involves overpowering cravings and changes in your brain chemistry that make it harder to resist eating certain foods
98,Do Some Sort of Cardio,"Doing cardio — whether it is jogging, running, cycling, power walking or hiking — is a great way to burn calories and improve both mental and physical health.

Cardio has been shown to improve many risk factors for heart disease. It can also help reduce body weight"
99,Add Resistance Exercises,"Loss of muscle mass is a common side effect of dieting.

If you lose a lot of muscle, your body will start burning fewer calories than before (105Trusted Source, 106Trusted Source).

By lifting weights regularly, you’ll be able to prevent this loss in muscle mass"
100,Use Whey Protein,"Most people get enough protein from diet alone. However, for those who don’t, taking a whey protein supplement is an effective way to boost protein intake."
101,Practice Mindful Eating,"Mindful eating is a method used to increase awareness while eating.

It helps you make conscious food choices and develop awareness of your hunger and satiety cues. It then helps you eat healthy in response to those cues"
102,Focus on Changing Your Lifestyle,"Dieting is one of those things that almost always fails in the long term. In fact, people who “diet” tend to gain more weight over time"
103,What is BMI?,"Body mass index (BMI) is a calculation that estimates a person’s body fat using their height and weight. A BMI of 18.5–24.9 is considered “normal” weight with a low risk of poor health, while anything above or below is linked to a higher risk of poor health."
104,Is it a good indicator of health?,"Though BMI has been criticized for its oversimplification of health, most research supports its ability to estimate a person’s risk of chronic disease, particularly one’s risk of early death and metabolic syndrome."
105,What is storax?,"Storax is a type of resin derived from the sap of Sweetgum trees. It has been used medicinally for centuries to treat various ailments, including bacterial and viral infections."
106,Dosage,"There’s not enough data on storax to determine the appropriate dose or know the full extent of the risk of adverse reactions. However, it’s likely safe for most people to use in small quantities."
107,Some people also experience depression after losing weight,"The truth is, any personal difficulties, relationship problems, or workplace challenges won’t automatically disappear once you lose weight. These concerns, and anything else troubling you, will probably stick around until you address them."
108,Is it the same thing as an open relationship?,Here’s where it gets tricky: A throuple can be an open or closed relationship.
109,What exactly is a throuple?,"You may also hear a throuple referred to as a three-way relationship, triad, or closed triad."
110,"So, what’re the basics?",The term “nonbinary” tells you something about who a person is — not about what they might look like.
111,Where did the term originate?,This quickly expanding set of vocabulary provides many people with the opportunity to locate and validate their personal and cultural experience of gender while communicating it to others.
112,Do you have to use specific pronouns?,"No matter your gender identity, it can be a good idea to introduce yourself to others with your name and pronouns. This may prompt others to share theirs."
113,What Does It Mean to Be Gender Nonconforming?,"Of course, because gender expectations differ from one society and culture to the next, what’s considered gender nonconforming in one culture might not be in another."
114,Can anyone be gender nonconforming?,You don’t have to be nonbinary or transgender in order to be gender nonconforming.
115,Types of bodyweight leg exercises,Squats and lunges are the primary movement patterns available for bodyweight leg training. Additional exercises can be added for more variety and comprehensive training.
116,Jump squat,Squats are a must-have exercise in your leg training program. There are progression options for increasing or decreasing the difficulty depending on your fitness level.
117,Jump lunge,Lunges are a key exercise to improve your strength and coordination for daily movement tasks. You have options for increasing the difficulty once you can perform standard lunges.
118,Step-up,Additional exercises that do not directly fit under the squat and lunge patterns can add variety to your warmup and workout options.
119,Benefits and drawbacks of bodyweight leg training,"Bodyweight leg exercises are a great way to begin developing functional strength and always a viable option for conditioning. Eventually, external resistance is needed for continued strength adaptations."
120,Bok choy is very nutritious,"Bok choy contains a wide variety of vitamins and minerals. It’s particularly high in vitamins C and K. It also offers some fiber, an important nutrient for overall health."
121,May promote heart health,"Bok choy is rich in vitamins, minerals, and antioxidants that may offer benefits for thyroid function and heart and bone health. They may even have anticancer properties."
122,Potential side effects,"One case study suggests that eating bok choy raw in very large amounts may interfere with thyroid function, but this is probably not a concern with typical serving sizes. If you take blood thinning medication, you may want to watch your intake."
123,How to incorporate it into your diet,"You can consume bok choy raw, roasted, or cooked on the stovetop in a soup, stir-fry, or fried rice dish. You can incorporate bok choy into your diet in Asian dishes and many other ways."
124,Kale,"Kale is rich in minerals, antioxidants and vitamins, particularly vitamins A, C and K. To reap the most benefits, it’s best eaten raw, as cooking reduces the nutritional profile of the vegetable."
125,Microgreens,"Microgreens are immature greens, which have been popular since the 1980s. They’re flavorful and packed with nutrients like vitamins C, E and K. What’s more, they can be grown all year."
126, Collard Greens,"Collard greens have thick leaves and are bitter in taste. They’re one of the best sources of vitamin K, may reduce blood clots and promote healthy bones."
127,Spinach,"Spinach is a popular leafy green vegetable that can be used in a variety of ways. It’s a great source of folate, which may prevent neural tube defects, such as spina bifida, during pregnancy."
128,Cabbage,"Cabbage has thick leaves and comes in various colors. It has cancer-protective properties and can be turned into sauerkraut, which offers additional health benefits."
129,Beet Greens,"Beet greens are edible green leaves found on the tip of beets. They’re full of nutrients, including antioxidants that may support eye health."
130,Watercress,"Watercress has been used in herbal medicine for centuries. A few test-tube studies suggest it may be beneficial in cancer treatment, but no human studies have confirmed these effects."
131,Romaine Lettuce,"Romaine lettuce is a popular lettuce found in many salads. It’s rich in vitamins A and K, and a study in rats suggests it may improve blood lipid levels."
132,Swiss Chard,"Swiss chard is rich in color and often incorporated into Mediterranean cooking. It contains the flavonoid syringic acid, which may be beneficial for reducing blood sugar levels. However, human-based research on its effectiveness is lacking."
133,Arugula,"Arugula is a leafy green vegetable that goes by several different names, including rocket and rucola. It’s rich in vitamins and naturally occurring nitrates, which may help reduce blood pressure and improve blood flow."
134,Endive,"Endive is a lesser-known leafy green vegetable that is curly and crisp in texture. It contains several nutrients, including the antioxidant kaempferol, which may reduce cancer cell growth."
135, Bok Choy,"Bok choy is popular in China and often used in soups and stir-fries. It contains the mineral selenium, which benefits your brain health, immunity, cancer protection and thyroid health."
136,Turnip Greens,"Turnip greens are the leaves of the turnip plant and are considered a cruciferous vegetable. Studies have found that they may decrease stress in your body and reduce your risk of heart disease, cancer and inflammation."
137,How is corned beef made?,Corned beef is made by brining brisket in a salt and spice solution to make it more tender and flavorful. It’s the traditional meat for a St. Patrick’s Day dinner.
138,Nutritional content,Corned beef is flavorful meat tenderized and flavored by brining it in a salt and spice solution. It’s high in protein but high in fat and sodium.
139,Health effects,"Corned beef adds some important nutrients to your diet, but it’s still processed red meat, linked with an increased risk of health problems like heart disease and cancer."
140,Recommendations,"The WHO classifies corned beef and other processed meats as potential carcinogens. Eating it regularly may increase your risk of developing colorectal cancer. Thus, it’s best to eat it infrequently."
141,What is Processed Meat?,"All meat that has been smoked, salted, cured, dried or canned is considered processed. This includes sausages, hot dogs, salami, ham and cured bacon."
142,Eating Processed Meat is Associated with an Unhealthy Lifestyle,People who are not health-conscious tend to eat more processed meat. This may partly explain some of the associations found in studies investigating processed meat consumption and disease.
143,Processed Meat is Linked with Chronic Disease,"Eating high amounts of processed meat over a long period may increase the risk of many chronic diseases, such as heart disease and cancer."
144,"Nitrite, N-Nitroso Compounds and Nitrosamines",Processed meat that is fried or grilled may contain relatively high levels of nitrosamines. Studies suggest that these compounds may increase the risk of cancer in the stomach and bowel.
145,Polycyclic Aromatic Hydrocarbons (PAHs),Smoked meat products may contain high amounts of polycyclic aromatic hydrocarbons (PAHs). These compounds have been shown to cause cancer in animals.
146,Heterocyclic Amines (HCAs),"Some processed meat products may contain heterocyclic amines (HCAs), carcinogenic compounds also found in well-done meat and fish."
147,Sodium Chloride,"Processed meat products contain large amounts of salt, which may contribute to some health problems."
148,Red Meat Is Very Nutritious,"Red meat is very nutritious, especially if it comes from animals that have been naturally fed and raised. It’s a great source of protein, iron, B12, zinc, creatine and various other nutrients."
149,"Heart Disease, Diabetes and Death","Some observational studies show a link between meat intake, diabetes, heart disease and death. Other studies suggest this only applies to processed meat, not unprocessed red meat."
150,Does Red Meat Increase Your Risk of Cancer?,"Several observational studies show that red meat eaters are at a greater risk of cancer, but larger reviews looking at the evidence as a whole show that the effect is weak and inconsistent."
151,Correlation Does Not Equal Causation,"Observational studies cannot be used to determine cause and effect. There are many confounders in such studies, and higher-quality studies sometimes end up showing the exact opposite effect."
152,A Look at Some Randomized Controlled Trials,Several randomized controlled trials indicate that the intake of unprocessed red meat does not have negative health effects. It may even have benefits.
153,Red Meat Optimization 101,"To prevent the formation of harmful substances when cooking meat, choose gentler cooking methods and avoid burning your meat."
154,Eating Only Muscle Meats Can Create an Imbalance,Including organ meat in your diet in place of muscle meat may limit your intake of methionine. Limiting methionine in the diet may improve health and even affect longevity.
155,Dangers of High-Heat Cooking,"Cooking meat over high heat can form unhealthy compounds like heterocyclic amines, advanced glycation end products and polycyclic aromatic hydrocarbons, all of which have been linked to an increased risk of disease."
156,Red Meat Is Very High in Iron,"Red meat is rich in iron. This is rarely a concern for healthy people, but it can be a problem for those who develop dangerously high blood levels of iron."
157,What are nitrates and nitrites?,"Nitrates and nitrites are compounds consisting of nitrogen and oxygen atoms. Nitrates can turn into nitrites, which can then form either nitric oxide (good) or nitrosamines (bad)."
158,Where nitrates and nitrites are found,"Nitrates are present in small amounts in processed meats and in larger amounts in healthy foods like vegetables. They also occur in drinking water, and the human body produces nitrates, too."
159,How nitrates affect blood pressure and heart health,"In the body, nitrites can turn into nitric oxide (NO), a signaling molecule that causes blood vessels to dilate and reduces blood pressure."
160,Can nitrates fuel physical performance?,"Studies suggest that dietary nitrates and nitrites can enhance physical performance, especially during high intensity endurance exercise."
161,Risks of nitrates and nitrites,"When nitrites and amino acids are present, carcinogenic compounds called nitrosamines can form during cooking with high heat."
162,How to minimize nitrosamine exposure,You can reduce your risk of nitrosamine exposure by carefully selecting processed meat products that are low in additives that contain nitrates.
163,What Is Salt?,"Salt is mainly composed of two minerals, sodium and chloride, which have various functions in the body. It is found naturally in most foods, and is widely used to improve flavor."
164,How Does Salt Affect Heart Health?,"Limiting salt intake does result in a slight reduction in blood pressure. However, there is no strong evidence linking reduced intake to a lower risk of heart attacks, strokes or death."
165,Low Salt Intake Can Be Harmful,"A low-salt diet has been linked to higher LDL and triglyceride levels, and increased insulin resistance. It may increase the risk of death from heart disease, heart failure and type 2 diabetes."
166,High Salt Intake is Linked to Stomach Cancer,Several observational studies have linked high salt intake with an increased risk of stomach cancer. This may be caused by several factors.
167,Which Foods Are High in Salt/Sodium?,"Foods that are high in salt include processed foods, such as salted snacks and instant soups. Less obvious foods, such as bread and cottage cheese, may also contain a lot."
168,Fat-soluble vitamin functions,"Vitamins play many essential roles in the body. Depending on their age and health status, women have different needs for both fat- and water-soluble vitamins throughout their lifespan."
169,Special considerations,"Nutrient needs change throughout a woman’s life. Certain women are at greater risk of developing nutrient deficiencies due to factors like increased nutrient demands, inadequate dietary intake, malabsorption, and more."
170,Dietary sources of vitamins ,"Vitamins can be found in a variety of foods, including animal and plant-based products."
171,When to supplement ,Some women aren’t able to meet their vitamin needs through diet alone and may require vitamin supplements. It’s important to work with a knowledgeable healthcare provider to develop a supplement regimen that’s right for you.
172, Iodine deficiency,Iodine is one of the most common nutrient deficiencies in the world. It may cause enlargement of the thyroid gland. Severe iodine deficiency can cause mental retardation and developmental abnormalities in children.
173,Vitamin D deficiency,"Vitamin D deficiency is very common. Symptoms include muscle weakness, bone loss, an increased risk of fractures, and — in children — soft bones. It is very difficult to get sufficient amounts from your diet alone."
174, Vitamin B12 deficiency,"Vitamin B12 deficiency is very common, especially in vegetarians, vegans, and older adults. The most common symptoms include blood disorders, impaired brain function, and elevated homocysteine levels."
175,Calcium deficiency,"Low calcium intake is very common, especially in women of all ages and older adults. The main symptom of calcium deficiency is an increased risk of osteoporosis later in life."
176,Vitamin A deficiency,"Vitamin A deficiency is very common in many developing countries. It may cause eye damage and blindness, as well as suppress immune function and increase mortality among women and children."
177,Magnesium deficiency,"Magnesium deficiency is common in Western countries, and low intake is associated with many health conditions and diseases."
178,What is sea moss?,"Sea moss is a red seaweed low in calories and high in carrageenan, a polysaccharide used for its thickening and stabilizing properties."
179,May have a prebiotic effect,"Sea moss may aid in weight loss due to its carrageenan content, which may increase feelings of fullness, lower body fat, and improve your microbiota profile."
180,Side effects and dosage,"Large amounts of sea moss may lead to excessive iodine intake, which may have detrimental health effects. Pregnant and breastfeeding people and those taking blood thinners should avoid consuming it. More research is needed in this area."
181,What Is the Gut Microbiome?,"The gut microbiome refers to all of the microbes in your intestines, which act as another organ that’s crucial for your health"
182,How Does It Affect Your Body?,"The gut microbiome affects the body from birth and throughout life by controlling the digestion of food, immune system, central nervous system and other bodily processes."
183,The Gut Microbiome May Affect Your Weight,"Gut dysbiosis may lead to weight gain, but probiotics can potentially restore gut health and help reduce weight."
184,It Affects Gut Health,"A healthy gut microbiome controls gut health by communicating with the intestinal cells, digesting certain foods and preventing disease-causing bacteria from sticking to the intestinal walls."
185,The Gut Microbiome May Benefit Heart Health,"Certain bacteria within the gut microbiome can produce chemicals that may block arteries and lead to heart disease. However, probiotics may help lower cholesterol and the risk of heart disease."
186,It May Help Control Blood Sugar and Lower the Risk of Diabetes,The gut microbiome plays a role in controlling blood sugar and may also affect the onset of type 1 diabetes in children.
187,It May Affect Brain Health,The gut microbiome may affect brain health by producing brain chemicals and communicating with nerves that connect to the brain.
188,How Can You Improve Your Gut Microbiome?,Eating a wide variety of high-fiber and fermented foods supports a healthy microbiome. Taking probiotics and limiting antibiotics can also be beneficial.
189,How does it compare with other crustaceans?,Lobster is a lean protein food with high amounts of heart-healthy omega-3 fatty acids. It also contains vitamins and minerals needed for optimal health.
190,Other potential benefits,Nutrients in lobster may offer beneficial effects for heart and mental health and weight loss. They may even help reduce the risk of certain types of cancer.
191,Is cholesterol from lobster bad for you?,"Lobster contains a high amount of cholesterol, but this is not a health concern for most people. Studies have found that cholesterol from food sources does not appear to increase the risk of heart disease."
192,Heavy metal contamination,Lobsters may become contaminated with heavy metals and microorganisms that cause foodborne illnesses. They are also highly allergenic.
193,How to prepare it,Lobster’s texture and flavor make it easy to include in a wide variety of dishes. Boiling and steaming are two traditional and healthy cooking methods. Frying or serving it with butter or mayonnaise can increase the fat content considerably.
